# The private dictionary the pack ships (Wave 4a section 5.3).
# Generated by tools/private-dict/extract.py from /tmp/claude-1000/-home-nima-Projects-server-design/1d5d06e1-5744-4aa1-a79e-67851b5b931b/scratchpad/pydicom_private_dict.py
# pydicom is MIT licensed; its private dictionary is generated from the GDCM
# project's, which is BSD 3-clause. Both notices are in the pack's
# PROVENANCE.md. Columns: creator, group, offset, vr, vm, name.
# 449 creators, 10507 elements; 38 wildcard entries left out.
ACUSON:1.2.840.113680.1.0:7f10	7FDF	2A	UN	1	CD Color Mix Points X2
ACUSON:1.2.840.113680.1.0:7f10	7FDF	2B	UN	1	CD Color Mix Points Y2
ACUSON:1.2.840.113680.1.0:7f10	7FDF	2C	UN	1	Color Accent
ACUSON:1.2.840.113680.1.0:7f10	7FDF	30	UN	1	Persistence SQ
ACUSON:1.2.840.113680.1.0:7f10	7FDF	31	UN	1	Persistence Mode
ACUSON:1.2.840.113680.1.0:7f10	7FDF	32	UN	1	Persistence Coefficient Mode
ACUSON:1.2.840.113680.1.0:7f10	7FDF	33	UN	1	Alpha coefficient
ACUSON:1.2.840.113680.1.0:7f10	7FDF	34	UN	1	Gamma coefficient
ACUSON:1.2.840.113680.1.0:7f10	7FDF	35	UN	1	Persistence Time Flag
ACUSON:1.2.840.113680.1.0:7f10	7FDF	36	UN	1	Persistence adaptive flag
ACUSON:1.2.840.113680.1.0:7f10	7FDF	37	UN	1	Persistence Frame Rate
ACUSON:1.2.840.113680.1.0:7f10	7FDF	38	UN	1	Persistence ID
ACUSON:1.2.840.113680.1.0:7f10	7FDF	40	UN	1	Observation Date Time SQ
ACUSON:1.2.840.113680.1.0:7f10	7FDF	50	UN	1	Capture Type Name
ACUSON:1.2.840.113680.1.0:7f10	7FDF	52	UN	1	Capture Type Number
ACUSON:1.2.840.113680.1.0:7f10	7FDF	54	UN	1	Number of Capture Types
ACUSON:1.2.840.113680.1.0:7f10	7FDF	60	UN	1	CD Steering Angle
ACUSON:1.2.840.113680.1.0:7f10	7FDF	61	UN	1	CD PRI
ACUSON:1.2.840.113680.1.0:7f10	7FDF	62	UN	1	CD Dynamic Range
ACUSON:1.2.840.113680.1.0:7f10	7FDF	63	UN	1	CD Velocity Scale Min
ACUSON:1.2.840.113680.1.0:7f10	7FDF	64	UN	1	CD Velocity Scale Max
ACUSON:1.2.840.113680.1.0:7f10	7FDF	65	UN	1	CD Color Mode
ACUSON:1.2.840.113680.1.0:7f10	7FDF	66	UN	1	CD Frequency
ACUSON:1.2.840.113680.1.0:7f10	7FDF	67	UN	1	CD Balance
ACUSON:1.2.840.113680.1.0:7f10	7FDF	68	UN	1	CD Delta
ACUSON:1.2.840.113680.1.0:7f10	7FDF	69	UN	1	CD Pan Box Min X0
ACUSON:1.2.840.113680.1.0:7f10	7FDF	6A	UN	1	CD Pan Box Min Y0
ACUSON:1.2.840.113680.1.0:7f10	7FDF	6B	UN	1	CD Pan Box Min X1
ACUSON:1.2.840.113680.1.0:7f10	7FDF	6C	UN	1	CD Pan Box Min Y1
ACUSON:1.2.840.113680.1.0:7f10	7FDF	6D	UN	1	CPS Map Type
ACUSON:1.2.840.113680.1.0:7f10	7FDF	6E	UN	1	CPS Map Data
ACUSON:1.2.840.113680.1.0:7f10	7FDF	6F	UN	1	CPS Balance Setting
ACUSON:1.2.840.113680.1.0:7f10	7FDF	70	UN	1	3DCard Step Angle
ACUSON:1.2.840.113680.1.0:7f10	7FDF	71	UN	1	3DCard Xdcr Angle
ACUSON:1.2.840.113680.1.0:7f10	7FDF	72	UN	1	B-mode Frequency
ACUSON:1.2.840.113680.1.0:7f10	7FDF	73	UN	1	B-mode Dynamic Range
ACUSON:1.2.840.113680.1.0:7f10	7FDF	74	UN	1	B-mode Frame Rate
ACUSON:1.2.840.113680.1.0:7f10	7FDF	75	UN	1	B-mode Space Time
ACUSON:1.2.840.113680.1.0:7f10	7FDF	76	UN	1	B-mode Persistence
ACUSON:1.2.840.113680.1.0:7f10	7FDF	77	UN	1	B-mode Display Depth Start
ACUSON:1.2.840.113680.1.0:7f10	7FDF	78	UN	1	B-mode Display Depth End
ACUSON:1.2.840.113680.1.0:7f10	7FDF	79	UN	1	B-mode Res Mode
ACUSON:1.2.840.113680.1.0:7f10	7FDF	7A	UN	1	B-mode Preset Application
ACUSON:1.2.840.113680.1.0:7f10	7FDF	7B	UN	1	Image Spec Name
ACUSON:1.2.840.113680.1.0:7f10	7FDF	7C	UN	1	B Preset Image Look
ACUSON:1.2.840.113680.1.0:7f10	7FDF	7D	UN	1	B-mode Post Processing
ACUSON:1.2.840.113680.1.0:7f10	7FDF	7E	UN	1	B Edge
ACUSON:1.2.840.113680.1.0:7f10	7FDF	7F	UN	1	B Delta
ACUSON:1.2.840.113680.1.0:7f10	7FDF	80	UN	1	B-mode 1D Post Processing Curve
ACUSON:1.2.840.113680.1.0:7f10	7FDF	81	UN	1	B-mode Delta (ECRI) Map Diagonal
ACUSON:1.2.840.113680.1.0:7f10	7FDF	82	UN	1	Bytes Per Timestamp
ACUSON:1.2.840.113680.1.0:7f10	7FDF	83	UN	1	Microseconds in unit timestamp
ACUSON:1.2.840.113680.1.0:7f10	7FDF	84	UN	1	Start Stopwatch Timestamp
ACUSON:1.2.840.113680.1.0:7f10	7FDF	85	UN	1	Acoustic Frame Timestamp
ACUSON:1.2.840.113680.1.0:7f10	7FDF	86	UN	1	R-Wave Timestamp
ACUSON:1.2.840.113680.1.0:7f10	7FDF	87	UN	1	Last Destruction Timestamp
ACUSON:1.2.840.113680.1.0:7f10	7FDF	88	UN	1	Pixels Per Second
ACUSON:1.2.840.113680.1.0:7f10	7FDF	89	UN	1	ECG Reference Timestamp
ACUSON:1.2.840.113680.1.0:7f10	7FDF	8A	UN	1	ECG Sampling Interval (milliseconds)
ACUSON:1.2.840.113680.1.0:7f10	7FDF	8B	UN	1	ECG Sample Count
ACUSON:1.2.840.113680.1.0:7f10	7FDF	8C	UN	1	ECG Sample Size
ACUSON:1.2.840.113680.1.0:7f10	7FDF	8D	UN	1	ECG Data Value
ACUSON:1.2.840.113680.1.0:7f10	7FDF	8E	UN	1	Contrast/Active Image Indicator
ACUSON:1.2.840.113680.1.0:7f10	7FDF	8F	UN	1	Live Dual Mode Indicator
ACUSON:1.2.840.113680.1.0:7f10	7FDF	90	UN	1	3DCard Clipset ID
ACUSON:1.2.840.113680.1.0:7f10	7FDF	91	UN	1	3DCard HRWave Min
ACUSON:1.2.840.113680.1.0:7f10	7FDF	92	UN	1	3DCard HRWave Max
ACUSON:1.2.840.113680.1.0:7f10	7FDF	93	UN	1	Perspective Capture Type
ACUSON:1.2.840.113680.1.0:7f10	7FDF	F1	UN	1	Trigger Mask.
ACUSON:1.2.840.113680.1.0:7f10	7FDF	F2	UN	1	Study Directory
ACUSON:1.2.840.113680.1.0:7f10	7FDF	F3	UN	1	Last Modify Date
ACUSON:1.2.840.113680.1.0:7f10	7FDF	F4	UN	1	Last Modify Time
ACUSON:1.2.840.113680.1.0:7f10	7FDF	F5	UN	1	Teaching Study
ACUSON:1.2.840.113680.1.0:7f10	7FDF	F6	UN	1	Series Base UID
ACUSON:1.2.840.113680.1.0:7ffe	7FDF	00	UN	1	Data Padding
